review,sentiment
Arkefly customer review,Negative
"""worst and non-reliable airline""",Negative
"""This is the worst airline""",Negative
Asiana Airlines customer review,Negative
"""reassess their baggage policy""",Negative
"""Excellent customer service""",Negative
"""Food onboard was excellent""",Positive
"""outstanding service""",Negative
"""Crew was very friendly""",Negative
"""In Flight Service was exceptional""",Negative
"""the best experience""",Negative
"""her feet were on my side moving""",Positive
"""crew was the real positive""",Negative
"""no excuse for not handling my requests""",Negative
"""Staff good""",Positive
"""Asiana has changed""",Positive
"""They forgot to serve my bread""",Negative
"""left with no baggage for five days""",Negative
"""The service was great""",Negative
"""had very nice crews""",Positive
"""I was quite happy with this airline""",Negative
"""not really interacting with passengers""",Positive
"""did not delay the flight 10-15 minutes""",Negative
"""not very helpful when putting luggage""",Negative
"""Asiana refund finally clears""",Negative
"""cabin staff service really good""",Negative
"""incredibly kind and helpful""",Positive
"""flight had been canceled""",Negative
"""denying my request for a refund""",Negative
"""attentive flight attendants""",Positive
"""Asiana have got their mojo back""",Positive
"""Cabin Service good""",Positive
"""very surprised by this airline""",Positive
"""did not load my luggage""",Positive
"""very helpful and friendly staff""",Positive
"""the staff are kind""",Negative
"""seat was smaller than I expected""",Negative
"""screw very kind and helpful""",Negative
"""good amount of space""",Positive
"""just a little TV scree""",Positive
"""checked my baggage through""",Negative
"""Extremely professional staff""",Negative
"""several kgs overweight.""",Positive
"""impossible to find fault""",Negative
"""Flight was almost impeccable""",Positive
"""Asiana is great""",Negative
"""Excellent attentive service""",Negative
"""the service is really good""",Positive
"""no way to request bulkhead seat",Negative
"""deserves to be rated 5-Star""",Negative
"""professional and spotless""",Negative
"""I will always support this carrier""",Negative
"""flight crew are efficient""",Positive
"""not given priority to board first""",Negative
"""Very nice but not assertive""",Positive
"""only offered one glass of wine""",Positive
"""such an amazing experience""",Negative
"""Great experience from start to finish""",Positive
"""Quite attentive service""",Positive
"""staff says seats are for sale""",Negative
"""Seats reasonably comfortable""",Positive
"""quite happy with my flight""",Negative
"""friendly and courteous""",Negative
"""politeness and hospitality""",Negative
"""Very friendly, experienced crew""",Negative
"""I was impressed with Asiana""",Positive
"""meal service was very slow""",Negative
"""horrible shell seat""",Negative
"""most uncomfortable""",Negative
"""definitely fly again with them""",Positive
"""Best flight of my life""",Negative
"""Uneventful comfortable flights""",Positive
"""I expected a larger pillow""",Positive
"""overall experience is pleasant""",Positive
"""certainly fly Asiana again""",Positive
"""Comfortable cabin and seat""",Positive
"""worst business class trip""",Negative
"""boarding was chaotic""",Positive
"""the staff were exemplary""",Positive
"""staff were superb""",Positive
"""Comfortable flights""",Negative
"""will be my first choice""",Negative
"""I won't bother again""",Positive
"""turned into a 36 hour ordeal""",Negative
"""friendly and very efficient""",Positive
"""Staff were more interested in chatting""",Negative
"""Korean Air fared far better""",Negative
"""cabin crew were amazing""",Negative
"""a recommendable airline""",Positive
"""impressed by the service""",Negative
"""Service was so-so""
",Positive
"""Seats were okay""",Positive
"""professionalism displayed""",Negative
"""be very happy to fly them again""",Positive
"""only saving grace was the food""",Negative
"""great service and inflight food""",Positive
"""would fly Asiana again""",Positive
"""selection of movies meagre""",Negative
"""Service was friendly and efficient""",Positive
"""beyond my expectation""",Positive
"""inflight service was decent""",Positive
"""Overall experience is good""",Positive
"""service was average""",Positive
"""ASKY should do better""",Negative
"""canceled our flights""",Negative
"""the worst airline ever""",Negative
"""Their service is outrageous""",Negative
ASKY Airlines customer review,Negative
"""food served was utterly inedible""",Negative
"""Very Terrible Experience""",Negative
"""my bag was damaged""",Negative
"""no luggage was found """,Negative
ASKY Airlines customer review,Negative
"""issue with my hand luggage""",Negative
"""lost baggage since July 31""",Negative
"""lack of respect of the traveler""",Negative
"""staff competent""",Positive
"""the worst experience""",Negative
"""not transparent and trustworthy""",Negative
"""it was nothing but a nightmare""",Negative
"""never fly the airline again""",Negative
ASKY Airlines customer review,Negative
ASKY Airlines customer review,Negative
ASKY Airlines customer review,Positive
ASKY Airlines customer review,Negative
"""never use this airline again""",Negative
"""one of the better airlines""",Negative
"""a perfect start to the vacation""",Negative
"""a very good flight""",Positive
"""Comfortable seats, clean aircraft""",Negative
"""very pleasant""",Positive
Atlantic Airways customer review,Positive
Atlantic Airways customer review,Positive
Atlantic Airways customer review,Negative
Atlantic Airways customer review,Negative
Atlantic Airways customer review,Positive
"""Check-in was efficient""",Negative
"""Disappointed is just understatement""",Negative
"""continue to gouge the customer""",Negative
"""treated me like a suspected terrorist""",Negative
"""this airline refuses a refund""",Negative
"""disappointed in this service is an understatement""",Negative
"""cancelling Leeds flight is regular occurrence""",Negative
"""where's the consistency""",Negative
"""recommend this airline""",Negative
"""return flight was a shambles""",Negative
"""not the sort of service you'd expect""",Negative
"""need to change the way their website works""",Negative
"""things always go smoothly""",Positive
"""cost is diabolically high""",Negative
"""have been a good airline""",Positive
"""urgent training required """,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Positive
Aurigny Air customer review,Positive
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
Aurigny Air customer review,Negative
"""forced me to pay 70 euro""",Negative
"""not enough legroom""",Negative
"""cascading effect of ruined vacation""",Negative
"""The meal was very good""",Positive
"""in a week received a compensation""",Negative
"""not recommend them at all""",Negative
"""kicked around our baggage""",Positive
"""The crew was very nice""",Positive
"""No information about compensation""",Negative
"""forced to check in my trolley""",Negative
"""forced me to check in my luggage""",Positive
"""could not stand it any longer""",Negative
"""Very bad experience""",Negative
"""totally unprofessional and uncaring""",Negative
"""Austrian should have done differently""",Negative
"""made our experience a good one""",Positive
"""recommend but with lesser expectations""",Positive
"""have yet to provide compensation""",Negative
"""One of the worst airlines""",Negative
"""I can highly recommend them""",Positive
"""Austrian forced me to check my bag""",Negative
"""Multiple failures and incompetence""",Negative
"""good customer service""",Positive
"""no baggage upon arrival""",Negative
"""lose your hand-luggage""",Positive
"""I was happily surprised""",Negative
"""Unfriendly personnel""",Negative
Austrian Airlines customer review,Negative
"""Super bad experience + customer service""",Negative
"""I will never fly with them again""",Negative
"""no rights to any compensation""",Negative
Austrian Airlines customer review,Positive
"""horrible check in experience""",Negative
"""$35 each for seat assignments""",Negative
Austrian Airlines customer review,Negative
"""both flights were excellent""",Negative
"""expect more from Star Alliance""",Positive
"""Staff were very friendly""",Positive
"""forced me to check in my luggage""",Negative
"""have the right to claim a compensation""",Negative
"""trip was uncomfortable even with the upgrade""",Negative
"""tolerance of excessive carry-ons""",Positive
"""Worst customer service""",Negative
"""the hardest trip in my life""",Negative
"""chaotic situation and delays""",Negative
"""Do not fly with Austrian""",Negative
"""very upsetting and discriminatory""",Positive
"""Terrible experience""",Negative
"""flight was very comfortable""",Negative
"""My 3 bags were 4 days late""",Negative
"""not recommend flying with Austrian""",Negative
"""Purser was very friendly""",Positive
"""done nothing to help me get my baggage back""",Negative
"""my flights were overbooked""",Negative
"""not very customer friendly""",Negative
"""I would not recommend them""",Negative
"""had lost my luggage twice""",Negative
"""That’s how Austrian Airlines treats business class clients""",Negative
"""waiting for my luggage for half my holidays""",Negative
"""my luggage had not been loaded""",Negative
"""the temperature was set to 24""",Negative
"""disastrous customer service""",Negative
"""our baggage didn’t make it""",Negative
"""one-hour delay to Vienna""",Negative
"""I would not recommend this airline""",Negative
"""luggage still missing after 1 week""",Negative
"""✅ Trip Verified |  """,Negative
"""lost my 4 luggage in Vienna""",Negative
"""Worst customer service""",Negative
"""worst experience with an airline""",Negative
"""Will never ever travel with them again""",Negative
"""Both of my bags are sitting in Vienna""",Negative
"""This is not the business seat service I paid for""",Negative
"""there is zero assistance by Austrian""",Negative
"""Do not fall for the 45 minute layover""",Negative
"""very poor at customer service""",Negative
"""The worst I have ever tried""",Negative
"""Austrian Airlines lost me as a customer""",Negative
"""one of my best flights in recent years""",Positive
"""the cheapest and poorest service we have ever had""",Negative
"""the most disrespectful attitude""",Negative
"""Worst customer service ever""",Negative
"""No communication whatsoever""",Negative
"""worst airline experience I have had""",Negative
"""causing me to miss my last flight""",Negative
"""would never fly with them again""",Negative
"""our baggage is still in Vienna""",Negative
"""initial flight was delayed""",Negative
"""no one received their bags""",Negative
"""Cost cutting to the max""",Negative
"""They fell to the lowest level possible""",Negative
"""I have learned my suitcases were untraceable""",Negative
"""Excellent service""",Negative
"""our bags never arrived""",Negative
"""AUA management is behaving like a cheap airline""",Negative
"""Truly zero star experience""",Negative
"""Would not recommend""",Negative
"""Plenty of leg room""",Positive
"""an excellent flight""",Positive
"""I will never go back with Austrian""",Negative
"""charge for customer service""",Negative
"""no different from Spirit and Frontier""",Negative
"""really ridiculous""",Negative
"""very frustrating experience""",Negative
"""ridiculously not customer friendly""",Negative
"""horrible customer service""",Negative
"""treated like nothing but waste""",Negative
"""the most pleasant flight experience""",Negative
"""our experience was great""",Negative
"""I would use them again""",Positive
"""Avelo used to be great""",Negative
"""So many delays""",Negative
"""Do not recommend at all""",Negative
"""Get it together Avelo""",Negative
"""Excellent experience""",Negative
"""Never again will I fly Avelo""",Negative
"""evade taking responsibility"" ",Negative
"""will be flying with them again""",Positive
"""recommend this with reservations""",Positive
"""not worth the hassle""",Negative
"""Constant mechanical problems""",Negative
"""I guess you get what you paid for""",Negative
"""Never fly with Avelo""",Negative
"""the crew and plane was amazing""",Negative
"""Customer service is inadequate""",Negative
"""Horrible customer service""",Negative
"""never fly Avelo Airlines again""",Negative
"""will never fly Avelo again""",Negative
"""Never again Avelo""",Negative
"""employee didn't believe me and made me pay""",Negative
"""both flights were seamless""",Negative
"""staff service was non-existent""",Negative
"""To good to be true""",Positive
"""Never check a bag with Avelo""",Negative
"""staff seemed like they somewhat cared""",Negative
"""flight had been delayed an entire 24 hours""",Negative
"""poor customer service""",Negative
"""service is not worth the headache""",Negative
"""Delays that are hours long""",Negative
"""staff was super helpful""",Negative
"""I would fly with them again"" ",Positive
"""Avelo changed my flights""",Negative
"""I will not give them my money again""",Negative
"""cancelled 4 hours before my flight""",Negative
"""Several delays, both ways""",Negative
"""unhappy with bag check-in service""",Negative
"""worst customer service experience""",Negative
"""never again""",Negative
"""What a waste of time""",Negative
"""""Worst airline experience ever",Negative
"""uncomfortable overcrowded gate area""",Negative
"""attendants were quite pleasant""",Positive
"""You get what you pay for""",Positive
"""I will fly Avelo again""",Positive
"""Excellent experience""",Negative
"""customer service was phenomenal""",Negative
"""the worst customer service""",Negative
"""This trip was horrendous""",Negative
"""not able to talk to somebody"" ",Negative
"""the customer service is horrendous""",Negative
"""Overall terrible experience""",Negative
"""my worst flight experience""",Negative
"""lack of communication - horrific""",Negative
"""Avelo has been the worst by far""",Negative
"""Avelo is providing a service for a cost, you have to decide if its worth it""",Negative
"""never recommend Avelo to anyone""",Negative
"""think twice before ever flying Avelo""",Negative
"""crew was very nice and did their best""",Negative
"""still a Very bad experience""",Negative
"""Awful experience""",Negative
"""Absolutely awful experience""",Negative
"""Horrible lack of communication""",Negative
"""I wouldn’t recommend this""",Negative
"""Never flying Avelo again""",Negative
"""I will definitely fly with you again""",Negative
"""Absolutely avoid this airline""",Negative
"""avoiding this airline in the future""",Negative
"""I'll never fly Avelo again""",Negative
"""very pleased with this airline""",Negative
"""where is the customer service?""2",Negative
"""it is completely meaningless""",Negative
"""No complaints. Super cheap""",Negative
"""I’ll definitely fly again""",Positive
"""customer service is terrible""",Negative
"""I will be using Avelo again""",Negative
"""I do not recommend this airline""",Negative
"""need to get better at communicating""",Positive
"""pay extra for the carry on bag""",Positive
"""Every time my flight pushed back by hours""",Negative
"""absolute worst customer service""",Negative
"""We were treated terribly""",Negative
"""Never fly these clowns""",Negative
"""customer service is the worst""",Negative
"""do not fly Avelo""",Negative
"""you really aren’t saving much money""",Negative
"""The payment system did not work""",Negative
"""airline is mediocre at best""",Negative
"""do not recommend to fly Avianca""",Negative
"""a horrible experience""",Negative
"""Avianca canceled our reservation""",Negative
"""sub charges for carry on luggage""",Negative
"""Terrible airline in every way""",Negative
"""tell us we are late for check in""",Negative
"""Worst airline ever""",Negative
"""Really a disaster""",Negative
"""as uncomfortable as possible""",Negative
"""the worst airline ever""",Negative
"""Inadequate customer service""",Negative
"""Absolutely horrible staff""",Negative
"""refused to provide a refund""",Negative
"""This was my worst experience""",Negative
"""I did not receive water or food""",Negative
"""Avianca has declined in the service""",Negative
"""This company is terrible""",Negative
"""did not offer any drinks or food""",Negative
"""first and my last trip with them""",Negative
"""don't give a drop of water""",Negative
"""The whole experience was atrocious""",Negative
"""Terrible experience""",Negative
"""not recommend this airline""",Negative
"""The worst airline experience""",Negative
"""Terrible customer service""",Negative
"""absolute worst airline""",Negative
"""flight service is horrible""",Negative
"""the fees are insane""",Negative
"""incompetent and frustrating""",Negative
"""the worst airline ever flown""",Negative
"""really low cost airline"" ",Negative
"""no engagement nor understanding""",Negative
"""chain of terrible experiences""",Negative
"""Not worth the $100 savings""",Negative
""" definitely will not refund money""",Negative
"""charged me 225U$ for my luggage""",Negative
"""customer service was terrible""",Negative
"""wouldn't allow a refund""",Negative
"""avoid this airline at all costs""",Negative
"""never ride with this airline again""",Negative
"""worst airline company""",Negative
"""$80 additional for a carry-on bag""",Negative
"""refused to give me a refund""",Negative
"""new Premium seat was comfortable""",Positive
"""Unbelievably poor showing""",Negative
"""extremely poor value for money""",Negative
"""I was happy to use Avianca""",Positive
"""the worst airline company I’ve ever flown with""",Negative
"""never fly Avianca ever again""",Negative
""" no food or drink is provided""",Positive
"""space was extremely tight""",Negative
"""absolute garbage quality""",Negative
"""The worst airline ever""",Negative
"""last time I will ever fly Avianca""",Negative
"""airline has consistently failed me""",Negative
"""do not recommend this airline""",Negative
"""recommend not to use Avianca""",Negative
"""staff were sassy, rude and ignorant""",Negative
"""The worst experience""",Negative
"""probably my worst trip ever"" ",Negative
"""not adjust the ticket price"" ",Negative
"""terrible and exhausting trip"" ",Negative
"""Very budget affair overall""",Negative
"""food really bad both ways""",Negative
"""No help at all from the airline""",Negative
"""It was a sardine can for a flight""",Negative
"""First and last time traveling this airline""",Negative
"""Terrible service""",Negative
"""The service is very bad""",Negative
"""Terrible airline and customer service""",Negative
"""Terrible customer service""",Negative
"""Avoid this airline""",Negative
"""not recommend this airline""",Negative
"""it is not what it used to be""",Negative
"""appalled by my last experience""",Negative
"""The seats are brutal""",Negative
"""staff was extremely unprofessional""",Negative
"""does not offer vegetarian food""",Positive
"""took too much for luggage delivery"" ",Negative
"""worst airline I have ever seen""",Negative
"""absolutely worse customer service""",Negative
"""uncomfortable and unbelievable experience""",Negative
"""do not fly them""",Negative
"""A total nightmare"" ",Negative
"""This trip was a nightmare""",Negative
"""everything about my experience was sour""",Negative
"""experience wasn't a pleasant one"" ",Negative
"""catering is shameful""",Positive
"""now it is just a disaster""",Negative
"""3 hours delay. No food""",Negative
"""This is a terrible airline""",Negative
"""unpleasant and uncomfortable experience""",Negative
"""Will never fly this airline again""",Negative
"""Incredibly bad airline""",Negative
"""only $92.15 was refunded""",Negative
"""truly sad how bad this airline has become""",Negative
"""turned into a very bad airline""",Negative
"""Do not fly this airline!""",Negative
"""airplanes are very old""",Positive
"""Terrible experience""",Negative
"""cannot recommend this airline""",Negative
"""left high and dry with no one to help""",Negative
Avior Airlines customer review,Positive
Avior Airlines customer review,Negative
"""expected us to wait in Baku airport for 2 days""",Negative
"""Refusing to do a refund""",Negative
"""cannot hold our money for that long""",Negative
"""refusing to refund our tickets""",Negative
"""have only offered a voucher""",Negative
"""Azerbaijani food was delicious""",Positive
"""seats and leg space were very good""",Positive
"""service was exceptional""",Negative
"""All expectations exceeded""",Negative
"""very impressed with the service""",Negative
"""service is really good""",Negative
"""The flight was great""",Positive
"""accepted he was wrong""",Negative
"""made a wonderful flight""",Positive
"""airline is one of the worst""",Negative
"""outstanding comfort and relaxation""",Negative
"""a little lacklustre""",Positive
"""I will recommend the airline""",Negative
"""no smiles and not friendly""",Positive
"""suitcases had zippers destroyed""",Negative
"""Seats were wide and comfortable""",Negative
"""flight is consistently good""",Positive
"""food quality is very good""",Positive
"""is the worst experience""",Negative
"""good service onboard""",Negative
"""crew is polite and professional""",Negative
"""surprised how good this airline was""",Negative
"""a very pleasant experience""",Positive
"""very comfortable seats""",Positive
"""food was tasty and pleasant""",Positive
"""no clear explanation""",Negative
"""the seats are not lie-flat""",Positive
"""fly with them again""",Positive
"""pleasant service throughout""",Positive
"""service was impressive""",Positive
"""a very good experience""",Positive
"""seat, meal and staff were all great""",Positive
"""staff are attentive and helpful""",Positive
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Positive
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Negative
Azerbaijan Airlines customer review,Negative
"""seats extremely uncomfortable""",Negative
"""recommend not to take Azur Air""",Negative
"""onboard service was laughable""",Positive
"""Such a disappointing experience""",Positive
"""a lovely flight with BA Cityflyer""",Positive
"""the flight was very enjoyable""",Positive
"""Very nice flight""",Positive
"""The crew were marvellous""",Positive
"""Average short haul experience""",Positive
"""would recommend CityFlyer""",Positive
"""could be a quality carrier""",Positive
"""service was atrocious""",Negative
"""not value for money""",Positive
"""still include food and drink""",Negative
"""did exactly what was said on the tin""",Positive
"""excellent airline""",Positive
"""still complimentary catering""",Negative
"""is an excellent option""",Positive
"""excellent flight experience""",Positive
"""excellent flight with BA Cityflyer""",Positive
"""E190 are ideal for European flights""",Negative
"""uneventful set of flights""",Positive
"""superior service to BA""",Positive
"""still give drinks and a snack""",Negative
"""a seamless and professional experience""",Negative
"""a disappointing experience""",Positive
"""cabin was clean and tidy""",Negative
"""great experience with BA CityFlyer""",Positive
"""we left and arrived on time""",Negative
"""left and arrived on time""",Negative
"""impressed with the meal service""",Positive
"""flight was very slick""",Positive
"""crew were friendly and efficient""",Positive
"""E190 jets are comfortable""",Positive
"""stress free experience""",Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Positive
BA CityFlyer customer review,Negative
BA CityFlyer customer review,Positive
"""great flight and experience""",Positive
"""choose to sit anywhere""",Negative
"""Absolutely ruined our vacation""",Negative
"""worst communication I've seen from any airline""",Negative
"""The worst customer service ever""",Negative
"""First of all, late as usual""",Negative
"""Will never use again.""",Negative
""" Submitted my form 7 months ago""",Negative
"""Will never use again""",Negative
"""100% unacceptable""",Negative
"""your flight will be late""",Negative
"""not recommend even slightly""",Negative
"""really took care of us""",Negative
"""they would not credit me""",Negative
"""we deserve respect and communication""",Negative
"""I feel very safe with them""",Positive
"""has to be the worst airline""",Negative
"""ruined the end of our vacation""",Negative
"""avoid this airline at all costs""",Negative
"""The worst airline ever!""",Negative
"""Terrible customer service""",Negative
"""Terrible customer experience""",Negative
"""Stay away from this airline""",Negative
"""airline is disorganized""",Negative
"""Extremely disorganized""",Negative
"""staff were very friendly""",Positive
"""The crew were very friendly""",Positive
"""staff need customer care training""",Negative
"""great customer service""",Negative
"""I am on my own""",Negative
"""service was awful""",Negative
"""smiling and friendly crew""",Positive
"""customer service do not give updates""",Negative
"""lacking in professionalism""",Negative
"""surprisingly had plenty of legroom""",Positive
"""how badly-run this airline is""",Negative
"""just don't seem to care""",Negative
"""customer service totally lacks""",Negative
"""unconcerned about our comfort""",Negative
"""I would rather swim""",Negative
Bahamasair customer review,Positive
Bahamasair customer review,Negative
Bahamasair customer review,Positive
Bahamasair customer review,Negative
Bahamasair customer review,Positive
Bahamasair customer review,Negative
Bahamasair customer review,Negative
Bahamasair customer review,Negative
Bahamasair customer review,Negative
Bahamasair customer review,Negative
Bahamasair customer review,Negative
Bahamasair customer review,Negative
"""I might fly this airline again""",Positive
"""Never will I fly with Bamboo Airways""",Negative
"""flights were fantastic""",Negative
"""a very pleasant experience""",Positive
"""they are not prepared""",Negative
"""budget friendly prices""",Negative
"""all the mod cons you expect""",Positive
"""the worst business class experience""",Negative
"""I won’t be flying Bamboo ever again""",Negative
"""reject children and elders to go to Priority""",Negative
"""A valuable carrier!""",Positive
"""Would not recommend this airline""",Negative
"""they moved the flight to an A320""",Negative
"""Never again, what a disgrace""",Negative
"""doesn't position itself as low cost""",Positive
"""Staff on board were pleasant but extremely untrained and disorganised""",Negative
"""terrible airline""",Negative
"""delighted with this airline""",Positive
"""this flight was terrible""",Negative
"""Do not try it""",Negative
"""The food was good""",Positive
"""no sign of the promised refund""",Negative
"""pay a lot of money for some extra kilos""",Negative
"""Can't recommend the customer Service""",Negative
"""Very bad service!""",Negative
"""Do not use this airline""",Negative
"""between a low cost and full service""",Positive
"""the insensitive response""",Negative
"""Would fly this airline again""",Positive
"""bad attitude from the staff""",Negative
"""would prefer a low cost carrier""",Positive
"""FAs were all Turkish women""",Positive
"""crew were fantastic""",Negative
"""service was impeccable""",Negative
"""attendant really friendly""",Positive
"""satisfied with this flight""",Negative
"""Definite value for money""",Negative
"""I was extremely happy""",Negative
"""check in was seamless""",Positive
"""a perfect flight"" ",Negative
"""it was a great flight""",Positive
"""Not the greatest treatment of passengers""",Negative
"""the crew was friendly""",Positive
"""I have been avoiding them""",Negative
"""Brilliant flight""",Negative
"""true feelgood experience""",Negative
"""very proficient and competent staff""",Negative
"""A very poor experience""",Negative
"""check in now by kiosk""",Negative
"""excellent value for money""",Negative
"""a very good product for the price""",Positive
"""truly get a feeling of luxury onboard""",Positive
"""Asia's favourite boutique airline""",Positive
"""luggage nowhere to be found on arrival in Phnon Penh""",Negative
"""Always on time, crew are always perfect""",Negative
"""What was their standard and procedure?""",Negative
"""want to thank Bangkok Airways for their time""",Negative
"""the stewardess had acted properly""",Negative
"""friendly yet hard-working people""",Negative
"""Friendly staff, good service""",Positive
"""a true dedicated employee""",Positive
"""Excellent  experience on Bangkok Airways""",Positive
"""very pleased and impressed""",Positive
"""they are changing flight""",Negative
"""wait at the airport for 4 hours""",Positive
"""nick name instead of passport name""",Negative
"""best in class airline""",Positive
"""one of the best regional airlines""",Negative
"""always lots of helpful staff""",Positive
"""will highly recommend them""",Negative
"""only option is Economy Class""",Positive
"""rebook my original flights""",Negative
"""What a fantastic airline""",Negative
"""a lovely service on a very short flight""",Negative
"""a very good experience""",Negative
"""Fully recommended!""",Negative
"""Once again a great flight""",Positive
"""friendly all the way""",Positive
"""comfortable for a short flight""",Positive
"""the flight was comfortable""",Positive
"""efficient, friendly and professional""",Positive
"""The cabin crew were nice""",Negative
"""They cancelled my flight""",Negative
"""flight was delayed by 2 hours""",Positive
"""I wasn't disappointed""",Negative
"""cant see how economy class can get any better""",Positive
"""There is nothing not to like""",Positive
"""No faults whatsoever""",Negative
"""Staff very attentive""",Negative
"""great airline to fly with""",Positive
"""okay on medium haul""",Positive
"""staff is really nice""",Positive
Bangkok Airways customer review,Negative
"""the service is great""",Positive
"""seated with a good legroom""",Positive
"""definitely a boutique airline""",Positive
"""did get us on the later flight""",Positive
"""offer a good service for a good price""",Positive
"""Cabin crew were very pleasant""",Positive
"""baggage took more than 1 hour""",Negative
"""waited 1 hour for the bags""",Negative
"""a massive disappointment""",Negative
"""Great service thank you""",Positive
"""old planes, low legspace""",Negative
"""good value for the money""",Negative
"""has become uncaring of its passengers""",Negative
"""Staff went above and beyond""",Negative
"""Lovely short flight""",Positive
"""Nothing to complain about""",Positive
"""aircraft was old and dirty""",Negative
"""every flight has been excellent""",Positive
"""FAs were professional, pleasant""",Positive
"""lack of convenient flights""",Positive
"""charged for luggage over 20kg""",Negative
"""absolutely worth the money""",Positive
"""didn't propose any help or flexibility""",Negative
"""Time to refresh Bangkok Airways?""",Negative
"""excess luggage expensive""",Negative
"""professional and friendly""",Positive
"""disappointed with our experience""",Negative
"""efficient inflight service""",Negative
"""Attentive crew, smooth flight""",Positive
"""now its very mediocre""",Negative
"""web site is misleading""",Negative
"""I’d recommend them""",Positive
"""Cabin service excellent""",Positive
"""the plane was in an unacceptable state""",Negative
"""got a ticket for a free meal""",Negative
"""Everything went fine""",Positive
"""good as it gets in economy""",Positive
"""inflight service  very reasonable""",Positive
"""service onboard was really good""",Positive
"""assistance and hospitality""",Negative
"""Great little airline""",Negative
"""all passengers was squeezed next to each other""",Negative
"""staff relaxed and very friendly""",Negative
"""aircraft interior was starting to show its age""",Positive
"""everything went smoothly throughout""",Negative
"""awesome flight attendants""",Negative
"""my last trip with this airline""",Negative
"""worst possible customer care""",Negative
"""I hope they grow and prosper in the future""",Negative
"""brilliant in all aspects""",Negative
"""courteous cabin crew""",Positive
"""the staff were great""",Negative
"""fly with Bassaka Air again""",Positive
"""staff were also rude and uncourteous""",Negative
"""the crew did an amazing job""",Negative
"""reputation for non-reliability""",Negative
"""Such a disappointment""",Negative
"""Late flight, late baggage""",Negative
"""Poor inflight service""",Negative
"""we had missed the check-in period""",Negative
"""Last time buying anything from Batik Ai""",Negative
"""will never use them again""",Negative
"""confusion surrounding the layover""",Negative
"""my experience was very good"" ",Negative
"""experience is not heinously bad""",Positive
"""a slow and painful process""",Negative
"""3 weeks to speak to someone""",Negative
"""Very disappointed""",Negative
"""don't provide pillows or blankets""",Negative
"""lets try to be human beings"" ",Negative
"""worst airline experience ever""",Negative
"""bad and unnecessary experience""",Negative
"""disorganized and chaotic""",Negative
"""never recommend this flight""",Negative
"""the worst airline I have travelled""",Negative
"""cabin crew were kind and helpful""",Positive
"""Worst airline I have flown""",Negative
"""airline needs to change many things""",Negative
"""attendant kept ignoring my requests""",Negative
"""Worst flight and crew ever""",Negative
